Country,Basic,Currency,Price USD,# of TV Shows,# of Movies,Total Library Size,Price per Title,,% Difference (Cost per Month) to Average,% Difference (Cost Per Month) to Most Expensive,% Difference (Cost Per Month) to Cheapest,% Difference (Cost per Title) to Average,% Difference (Cost per Title)  to Most Expensive,% Difference (Cost per Title)  to Cheapest,,,Region
Pakistan,450,PKR,1.94,2301,3673,5974,0.00032,09/28/2022,118.58,145.05,0.00,118.66,144.99,0.00,,,Asia
India,199,INR,2.44,2316,3770,6086,0.00040,,102.52,133.12,-23.07,103.97,134.07,-21.24,,,Asia
Turkey,45.99,TRY,2.48,1910,3602,5512,0.00045,,101.38,132.25,-24.60,95.36,127.52,-32.48,,,Europe
Argentina,429,ARS,2.92,2039,3496,5535,0.00053,,88.79,122.59,-40.44,82.65,117.63,-47.70,,,South America
Colombia,16900,COP,3.76,2031,3614,5645,0.00067,,67.34,105.53,-64.02,62.37,101.28,-69.06,,,South America
Brazil,25.9,BRL,4.82,2004,3667,5671,0.00085,,44.64,86.59,-85.22,39.77,82.20,-89.44,,,South America
Hungary,2490,HUF,5.85,1359,5381,6740,0.00087,,25.79,70.13,-100.48,37.66,80.37,-91.19,,,Europe
Ukraine,4.99,EUR,4.84,2233,3312,5545,0.00087,,44.08,86.11,-85.70,37.05,79.83,-91.69,,,Europe
Philippines,369,PHP,6.27,2418,4340,6758,0.00093,,18.90,63.94,-105.60,31.15,74.67,-96.42,,,Asia
South Africa,99,ZAR,5.54,2222,3667,5889,0.00094,,31.15,74.88,-96.33,29.87,73.53,-97.42,,,Africa
Poland,29,PLN,5.85,1799,4319,6118,0.00096,,25.80,70.14,-100.47,28.25,72.10,-98.68,,,Europe
Slovakia,7.99,EUR,7.76,2163,5827,7990,0.00097,,-2.26,44.30,-120.04,26.77,70.79,-99.81,,,Europe
Bulgaria,7.99,EUR,7.76,2162,5619,7781,0.00100,,-2.26,44.30,-120.04,24.16,68.46,-101.79,,,Europe
Lithuania,7.99,EUR,7.76,2157,5464,7621,0.00102,,-2.26,44.30,-120.04,22.11,66.62,-103.32,,,Europe
Estonia,7.99,EUR,7.76,2158,5453,7611,0.00102,,-2.26,44.30,-120.04,21.98,66.50,-103.42,,,Europe
Latvia,7.99,EUR,7.76,2156,5444,7600,0.00102,,-2.26,44.30,-120.04,21.84,66.37,-103.52,,,Europe
Morocco,65,MAD,5.86,1971,3722,5693,0.00103,,25.68,70.03,-100.56,21.04,65.65,-104.12,,,Africa
Iceland,7.99,EUR,7.76,2139,5314,7453,0.00104,,-2.26,44.30,-120.04,19.91,64.63,-104.95,,,Europe
United Kingdom,6.99,GBP,7.57,2302,4891,7193,0.00105,,0.13,46.56,-118.50,18.76,63.58,-105.79,,,Europe
Romania,7.99,EUR,7.76,1691,5502,7193,0.00108,,-2.26,44.30,-120.04,16.39,61.43,-107.50,,,Europe
Peru,24.9,PEN,6.30,2029,3739,5768,0.00109,,18.57,63.64,-105.84,15.20,60.34,-108.35,,,South America
Egypt,120,EGP,6.14,1991,3537,5528,0.00111,,20.97,65.81,-104.08,13.39,58.69,-109.62,,,Africa
Australia,10.99,AUD,7.15,2225,4170,6395,0.00112,,5.92,52.01,-114.67,12.84,58.18,-110.01,,,Oceania
Chile,5940,CLP,6.21,2034,3419,5453,0.00114,,19.97,64.91,-104.82,11.02,56.50,-111.28,,,South America
Germany,7.99,EUR,7.76,2062,4740,6802,0.00114,,-2.26,44.30,-120.04,10.82,56.33,-111.41,,,Europe
Canada,9.99,CAD,7.33,2136,4291,6427,0.00114,,3.40,49.65,-116.36,10.82,56.32,-111.42,,,North America
Thailand,279,THB,7.36,2153,4252,6405,0.00115,,3.06,49.33,-116.58,10.14,55.69,-111.89,,,Asia
Spain,7.99,EUR,7.76,1868,4865,6733,0.00115,,-2.26,44.30,-120.04,9.81,55.39,-112.11,,,Europe
Netherlands,7.99,EUR,7.76,1551,5158,6709,0.00116,,-2.26,44.30,-120.04,9.45,55.06,-112.36,,,Europe
Japan,990,JPY,6.86,2191,3730,5921,0.00116,,10.08,55.87,-111.84,9.31,54.93,-112.45,,,Asia
Italy,7.99,EUR,7.76,1855,4809,6664,0.00116,,-2.26,44.30,-120.04,8.78,54.43,-112.82,,,Europe
Portugal,7.99,EUR,7.76,1825,4823,6648,0.00117,,-2.26,44.30,-120.04,8.54,54.21,-112.98,,,Europe
New Zealand,12.99,NZD,7.43,2218,4126,6344,0.00117,,2.05,48.38,-117.24,8.17,53.87,-113.23,,,Oceania
Greece,7.99,EUR,7.76,1714,4829,6543,0.00119,,-2.26,44.30,-120.04,6.95,52.73,-114.06,,,Europe
Austria,7.99,EUR,7.76,2054,4488,6542,0.00119,,-2.26,44.30,-120.04,6.94,52.72,-114.07,,,Europe
South Korea,9500,KRW,6.68,2094,3431,5525,0.00121,,12.72,58.30,-110.01,5.04,50.95,-115.34,,,Asia
Ireland,8.99,EUR,8.73,2298,4886,7184,0.00122,,-14.03,32.95,-127.32,4.51,50.45,-115.70,,,Europe
Gibraltar,7.99,EUR,7.76,2274,4101,6375,0.00122,,-2.26,44.30,-120.04,4.35,50.30,-115.80,,,Europe
Mexico,139,MXN,6.89,2032,3510,5542,0.00124,,9.65,55.47,-112.14,2.27,48.35,-117.18,,,North America
Czech Republic,199,CZK,7.84,1369,4889,6258,0.00125,,-3.28,43.32,-120.69,1.48,47.60,-117.70,,,Europe
Finland,7.99,EUR,7.76,1756,4429,6185,0.00125,,-2.26,44.30,-120.04,1.33,47.46,-117.80,,,Europe
Serbia,7.99,EUR,7.76,2152,3931,6083,0.00128,,-2.26,44.30,-120.04,-0.34,45.89,-118.88,,,Europe
Bosnia & Herzegovina,7.99,EUR,7.76,2148,3920,6068,0.00128,,-2.26,44.30,-120.04,-0.58,45.65,-119.04,,,Europe
Indonesia,120000,IDR,7.89,1910,4211,6121,0.00129,,-3.97,42.67,-121.13,-1.42,44.86,-119.57,,,Asia
Albania,7.99,EUR,7.76,2152,3823,5975,0.00130,,-2.26,44.30,-120.04,-2.13,44.19,-120.03,,,Europe
Singapore,12.98,SGD,9.04,2410,4380,6790,0.00133,,-17.47,29.57,-129.35,-4.60,41.83,-121.60,,,Asia
France,8.99,EUR,8.73,2049,4364,6413,0.00136,,-14.03,32.95,-127.32,-6.84,39.68,-123.00,,,Europe
Bermuda,8.99,USD,8.99,2262,4332,6594,0.00136,,-16.96,30.07,-129.05,-7.01,39.52,-123.11,,,North America
Algeria,7.99,USD,7.99,2034,3826,5860,0.00136,,-5.21,41.48,-121.91,-7.02,39.51,-123.11,,,Africa
Belgium,8.99,EUR,8.73,1820,4552,6372,0.00137,,-14.03,32.95,-127.32,-7.48,39.06,-123.40,,,Europe
Norway,89,NOK,8.32,1762,4211,5973,0.00139,,-9.24,37.60,-124.42,-9.14,37.46,-124.43,,,Europe
United Arab Emirates,29,AED,7.90,1989,3578,5567,0.00142,,-4.02,42.62,-121.16,-10.95,35.71,-125.53,,,Asia
Taiwan,270,TWD,8.52,2175,3798,5973,0.00143,,-11.63,35.29,-125.87,-11.53,35.14,-125.88,,,Asia
Honduras,7.99,USD,7.99,2025,3561,5586,0.00143,,-5.21,41.48,-121.91,-11.80,34.88,-126.04,,,North America
Qatar,7.99,USD,7.99,1984,3601,5585,0.00143,,-5.21,41.48,-121.91,-11.81,34.87,-126.05,,,Asia
Tunisia,7.99,USD,7.99,1972,3604,5576,0.00143,,-5.21,41.48,-121.91,-11.97,34.71,-126.15,,,Africa
Malaysia,35,MYR,7.56,1275,3993,5268,0.00144,,0.32,46.74,-118.38,-12.13,34.56,-126.24,,,Asia
Monaco,8.99,EUR,8.73,2182,3887,6069,0.00144,,-14.03,32.95,-127.32,-12.34,34.35,-126.37,,,Europe
Lebanon,7.99,USD,7.99,1985,3568,5553,0.00144,,-5.21,41.48,-121.91,-12.39,34.31,-126.40,,,Asia
Bahrain,7.99,USD,7.99,1986,3555,5541,0.00144,,-5.21,41.48,-121.91,-12.60,34.10,-126.53,,,Asia
Bolivia,7.99,USD,7.99,2032,3504,5536,0.00144,,-5.21,41.48,-121.91,-12.69,34.01,-126.58,,,South America
Kuwait,7.99,USD,7.99,1985,3509,5494,0.00145,,-5.21,41.48,-121.91,-13.45,33.27,-127.04,,,Asia
Ecuador,7.99,USD,7.99,2022,3468,5490,0.00146,,-5.21,41.48,-121.91,-13.52,33.20,-127.08,,,South America
Sweden,99,SEK,8.82,1764,4268,6032,0.00146,,-15.04,31.96,-127.92,-13.96,32.77,-127.35,,,Europe
Jordan,7.99,USD,7.99,1984,3471,5455,0.00146,,-5.21,41.48,-121.91,-14.16,32.58,-127.46,,,Asia
Venezuela,7.99,USD,7.99,2031,3411,5442,0.00147,,-5.21,41.48,-121.91,-14.40,32.35,-127.60,,,South America
Guatemala,7.99,USD,7.99,2032,3409,5441,0.00147,,-5.21,41.48,-121.91,-14.41,32.33,-127.62,,,North America
Iraq,7.99,USD,7.99,1984,3419,5403,0.00148,,-5.21,41.48,-121.91,-15.11,31.65,-128.03,,,Asia
Hong Kong,63,HKD,8.03,2078,3315,5393,0.00149,,-5.66,41.05,-122.19,-15.75,31.02,-128.41,,,Asia
Andorra,7.99,EUR,7.76,1843,3355,5198,0.00149,,-2.26,44.30,-120.04,-16.02,30.75,-128.57,,,Europe
Palestine,7.99,USD,7.99,1980,3358,5338,0.00150,,-5.21,41.48,-121.91,-16.31,30.46,-128.74,,,Asia
Libya,7.99,USD,7.99,1974,3352,5326,0.00150,,-5.21,41.48,-121.91,-16.54,30.25,-128.87,,,Africa
Yemen,7.99,USD,7.99,1986,3340,5326,0.00150,,-5.21,41.48,-121.91,-16.54,30.25,-128.87,,,Asia
Croatia,7.99,EUR,7.76,900,4236,5136,0.00151,,-2.26,44.30,-120.04,-17.22,29.58,-129.27,,,Europe
San Marino,7.99,EUR,7.76,1832,3246,5078,0.00153,,-2.26,44.30,-120.04,-18.34,28.47,-129.93,,,Europe
Paraguay,8.29,USD,8.29,2029,3393,5422,0.00153,,-8.89,37.94,-124.20,-18.42,28.39,-129.98,,,South America
Saudi Arabia,32,SAR,8.50,1984,3480,5464,0.00155,,-11.34,35.57,-125.70,-20.09,26.74,-130.94,,,Asia
Oman,8.39,USD,8.39,1986,3355,5341,0.00157,,-10.09,36.79,-124.93,-21.10,25.73,-131.53,,,Asia
Moldova,7.99,EUR,7.76,1678,3248,4926,0.00157,,-2.26,44.30,-120.04,-21.35,25.48,-131.67,,,Europe
Uruguay,8.99,USD,8.99,2032,3601,5633,0.00160,,-16.96,30.07,-129.05,-22.67,24.17,-132.42,,,South America
French Guiana,8.99,EUR,8.73,2032,3427,5459,0.00160,,-14.03,32.95,-127.32,-22.85,23.99,-132.53,,,South America
Costa Rica,8.99,USD,8.99,2032,3429,5461,0.00165,,-16.96,30.07,-129.05,-25.72,21.11,-134.14,,,North America
United States,9.99,USD,9.99,2162,3833,5995,0.00167,,-27.38,19.69,-135.00,-26.92,19.91,-134.81,,,North America
French Polynesia,8.99,USD,8.99,2088,3258,5346,0.00168,,-16.96,30.07,-129.05,-27.81,19.00,-135.31,,,South America
Denmark,79,DKK,10.31,1767,4338,6105,0.00169,,-30.50,16.52,-136.72,-28.27,18.54,-135.56,,,Europe
Switzerland,11.9,CHF,12.17,2064,4695,6759,0.00180,,-46.44,0.00,-145.05,-34.49,12.20,-138.94,,,Europe
Israel,32.9,ILS,9.33,1693,3356,5049,0.00185,,-20.60,26.47,-131.17,-36.95,9.67,-140.24,,,Asia
Liechtenstein,11.9,CHF,12.17,2221,3761,5982,0.00203,,-46.44,0.00,-145.05,-46.20,0.00,-144.99,,,Europe
,,,,,,,,,,,,,,,,,
Average,,,7.58,,,6029,0.00127,,,,,,,,,,
Minimum,,,1.94,,,4926,0.00032,,,,,,,,,,
Maximum,,,12.17,,,7990,0.00203,,,,,,,,,,